candidate_id,capacity_spec,rounds,raw_artifact_dir,returncode,correctness,block_cache_total_mib,peak_process_gpu_memory_mib,decode_tokens_per_s,e2e_latency_s,e2e_generated_tokens_per_s,retention_decision,retention_reason
layer31_0p875,"1=0.75,2-3=0.75,25=0.75,28-29=0.75,31=0.875",1,attempts/opt_attempt_021_layer31_conservative_capacity_frontier/raw/layer31_0p875_120k_b8_cr0p05_r1,0,pass,5650.0,29860.0,196.8052012344282,244.46476936340332,3.2724551766016594,fail_one_round,decode_regressed_vs_opt013
layer31_0p9375,"1=0.75,2-3=0.75,25=0.75,28-29=0.75,31=0.9375",1,attempts/opt_attempt_021_layer31_conservative_capacity_frontier/raw/layer31_0p9375_120k_b8_cr0p05_r1,0,pass,5661.5,29872.0,199.18852650060632,245.52691912651062,3.258298531363034,fail_one_round,e2e_regressed_vs_opt013
