candidate_id,status,failure_class,idea_status,correctness,staged_layers,block_cache_total_mib,peak_process_gpu_memory_mib,peak_delta_vs_validation_mib,decode_throughput_tokens_s,decode_delta_vs_validation_tokens_s,e2e_generated_tokens_per_s,e2e_delta_vs_validation_tokens_s,index_metadata_gpu_bytes_saved_vs_nominal,index_metadata_stage_copy_bytes,index_metadata_stage_prefetch_count
stage_l2,passed,success,feasibility_pass_no_resident_metadata_saving_decode_regression,pass,[2],5673.0,41604.0,0.0,196.4327498064286,-2.166691765174278,3.2857999247189977,0.0007429684652255908,0,245222400,1
stage_l2_l3,passed,success,refuted_memory_saving_but_decode_and_e2e_regressed,pass,"[2, 3]",5673.0,41366.0,-238.0,143.06063226303573,-55.53880930856715,3.251411729360891,-0.0336452268928813,245222400,49044480000,200
